"condition","accuracy","experiment"
"Baseline",0.358333333333333,"E1: Closeness"
"X",0.383333333333333,"E1: Closeness"
"T",0.391666666666667,"E1: Closeness"
"X+T",0.416666666666667,"E1: Closeness"
"E+X+T",0.391666666666667,"E1: Closeness"
"baseline/False",0.95,"E2: Anomaly"
"baseline/True",0.983333333333333,"E2: Anomaly"
"ood/False",0.3,"E2: Anomaly"
"ood/True",0.15,"E2: Anomaly"
"X",0.533333333333333,"E3: Counterfactual"
"E+X",0.579166666666667,"E3: Counterfactual"
"Baseline",0.363636363636364,"E4: Transfer"
"E",0.404545454545455,"E4: Transfer"
"Baseline",0.45,"E5: Placebo"
"Real_NLE",0.479166666666667,"E5: Placebo"
"Placebo_NLE",0.458333333333333,"E5: Placebo"
